date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:53:53	208/208	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2002%20Aug%202023%2007:53:54%20GMT	http://pairingpayments.kr/robots.txt		(from )
16:53:54	78689/78689	---MCZ	200	added ('OK')	text/html	date:Wed,%2002%20Aug%202023%2007:53:54%20GMT	http://pairingpayments.kr/	D:/website/http___pairingpayments.kr_/pairingpayments.kr/index.html	(from )
16:53:54	2731/2731	---MCZ	200	added ('OK')	text/css	etag:W/%22aab-5e03a4a8406a3%22	http://pairing1522.cafe24.com/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.5.6.1	D:/website/http___pairingpayments.kr_/pairing1522.cafe24.com/wp-content/plugins/contact-form-7/includes/css/styles04dd.css	(from http://pairingpayments.kr/)
16:53:54	88870/88870	---MCZ	200	added ('OK')	text/css	etag:W/%2215b26-5dff8cb7dbed8%22	http://pairing1522.cafe24.com/wp-includes/css/dist/block-library/style.min.css?ver=6.0	D:/website/http___pairingpayments.kr_/pairing1522.cafe24.com/wp-includes/css/dist/block-library/style.minf049.css	(from http://pairingpayments.kr/)
16:53:54	5839/5839	---MCZ	200	added ('OK')	text/css	etag:W/%2216cf-5e04875686e25%22	http://pairing1522.cafe24.com/wp-content/themes/hello-elementor/style.min.css?ver=2.5.0	D:/website/http___pairingpayments.kr_/pairing1522.cafe24.com/wp-content/themes/hello-elementor/style.min0875.css	(from http://pairingpayments.kr/)
16:53:55	15346/15346	---MCZ	200	added ('OK')	text/css	etag:W/%223bf2-5e0487567fcdd%22	http://pairing1522.cafe24.com/wp-content/themes/hello-elementor/theme.min.css?ver=2.5.0	D:/website/http___pairingpayments.kr_/pairing1522.cafe24.com/wp-content/themes/hello-elementor/theme.min0875.css	(from http://pairingpayments.kr/)
16:53:56	8291/8291	---MCZ	200	added ('OK')	text/css	etag:W/%222063-5e168b5a1d2fb%22	http://pairing1522.cafe24.com/wp-content/uploads/elementor/css/post-2722.css?ver=1655214723	D:/website/http___pairingpayments.kr_/pairing1522.cafe24.com/wp-content/uploads/elementor/css/post-2722a97a.css	(from http://pairingpayments.kr/)
16:53:56	728/728	---M--	200	added ('OK')	application/rss+xml	etag:%22ceb508103ad1e25148f2beb01608457e%22	http://pairingpayments.kr/?feed=comments-rss2	D:/website/http___pairingpayments.kr_/pairingpayments.kr/indexa6da.html	(from http://pairingpayments.kr/)
16:53:56	107922/107922	---MCZ	200	added ('OK')	text/css	etag:W/%221a592-5e168b41a30e9%22	http://pairing1522.cafe24.com/wp-content/plugins/elementor/assets/css/frontend-lite.min.css?ver=3.6.6	D:/website/http___pairingpayments.kr_/pairing1522.cafe24.com/wp-content/plugins/elementor/assets/css/frontend-lite.min1ed5.css	(from http://pairingpayments.kr/)
16:53:56	19128/19128	---MCZ	200	added ('OK')	text/css	etag:W/%224ab8-5e168b41f034a%22	http://pairing1522.cafe24.com/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.15.0	D:/website/http___pairingpayments.kr_/pairing1522.cafe24.com/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min7816.css	(from http://pairingpayments.kr/)
